service_id,date,exception_type
51,20130301,2
51,20130308,2
51,20130426,2
51,20130503,2
49,20121029,2
49,20121105,2
49,20121224,2
49,20121231,2
49,20130225,2
49,20130304,2
49,20130401,2
49,20130422,2
49,20130429,2
49,20130520,2
47,20130508,1
47,20130509,1
47,20121101,1
47,20130501,1
47,20130401,1
47,20130520,1
47,20121225,1
47,20130101,1
54,20121224,1
54,20121225,1
54,20121226,1
54,20121227,1
54,20121228,1
54,20121231,1
54,20130101,1
54,20130102,1
54,20130103,1
54,20130104,1
54,20130225,1
54,20130226,1
54,20130227,1
54,20130228,1
54,20130301,1
54,20130304,1
54,20130305,1
54,20130306,1
54,20130307,1
54,20130308,1
54,20130422,1
54,20130423,1
54,20130424,1
54,20130425,1
54,20130426,1
54,20130429,1
54,20130430,1
54,20130501,1
54,20130502,1
54,20130503,1
54,20121101,2
54,20121225,2
54,20130101,2
54,20130501,2
65,20121224,1
65,20121225,1
65,20121226,1
65,20121227,1
65,20121228,1
65,20121229,1
65,20121231,1
65,20130101,1
65,20130102,1
65,20130103,1
65,20130104,1
65,20130105,1
65,20130225,1
65,20130226,1
65,20130227,1
65,20130228,1
65,20130301,1
65,20130302,1
65,20130304,1
65,20130305,1
65,20130306,1
65,20130307,1
65,20130308,1
65,20130309,1
65,20130422,1
65,20130423,1
65,20130424,1
65,20130425,1
65,20130426,1
65,20130427,1
65,20130429,1
65,20130430,1
65,20130501,1
65,20130502,1
65,20130503,1
65,20130504,1
65,20121101,2
65,20121225,2
65,20130101,2
65,20130501,2
55,20121101,1
55,20121225,1
55,20130101,1
64,20130507,1
64,20130510,1
64,20130514,1
64,20130515,1
64,20130516,1
64,20130517,1
64,20130521,1
64,20130522,1
64,20130523,1
64,20130524,1
64,20130528,1
64,20130529,1
64,20130530,1
64,20130531,1
64,20130604,1
64,20130605,1
64,20130606,1
64,20130607,1
64,20130611,1
64,20130612,1
64,20130613,1
64,20130614,1
64,20130618,1
64,20130619,1
64,20130620,1
64,20130621,1
64,20130625,1
64,20130626,1
64,20130627,1
64,20130628,1
64,20121221,2
64,20121030,2
64,20121031,2
64,20121101,2
64,20121102,2
64,20121106,2
