stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:LIL11789N,"La Bretonnière",,47.32632122,-1.78775953,,,0,StopArea:LIL1042
StopPoint:LILNav2324,"Les Templiers",,47.32805672,-1.79177812,,,0,StopArea:LIL1256
StopPoint:LILNav2197,"Croix Morzelle Gare",,47.30461398,-1.84430457,,,0,StopArea:LIL1174
StopPoint:LIL11612N,"Papinais",,47.29965547,-1.84920266,,,0,StopArea:LIL1057
StopPoint:LIL24377N,"Plaisance",,47.29149946,-1.87412933,,,0,StopArea:LIL1056
StopPoint:LIL11632N,"Centre",,47.29141234,-1.87709345,,,0,StopArea:LIL78
StopPoint:LIL11520N,"Mairie",,47.32020772,-1.91013005,,,0,StopArea:LIL808
StopPoint:LIL23637N,"Centre",,47.32985374,-1.79217453,,,0,StopArea:LIL358
StopPoint:LIL11568N,"Croix Blanche",,47.35003701,-1.86513971,,,0,StopArea:LIL1062
StopPoint:LIL11561N,"Centre",,47.35662708,-1.85876369,,,0,StopArea:LIL238
StopPoint:LIL00749N,"Gare Routière",,47.36231478,-1.94512118,,,0,StopArea:LIL348
StopPoint:LILNav2395,"Gare SNCF",,47.35876477,-1.95059949,,,0,StopArea:LIL1271
StopPoint:LIL23246O,"Cent sillons",,47.36974848,-1.60877885,,,0,StopArea:LIL43
StopPoint:LIL12232O,"Mairie",,47.36590535,-1.60585341,,,0,StopArea:LIL228
StopPoint:LIL12243O,"Bellevue",,47.35400938,-1.60504975,,,0,StopArea:LIL16
StopPoint:LIL12251O,"Rochère",,47.34341545,-1.60686145,,,0,StopArea:LIL311
StopPoint:LIL13241O,"Centre",,47.33067603,-1.62486851,,,0,StopArea:LIL368
StopPoint:LIL12264O,"Poste de Gesvre",,47.3279283,-1.61641417,,,0,StopArea:LIL293
StopPoint:LIL12190O,"Le Moulin Blanc",,47.32588899,-1.61548825,,,0,StopArea:LIL906
StopPoint:LIL12206O,"Ménardais",,47.31490584,-1.61831584,,,0,StopArea:LIL260
StopPoint:LIL12286O,"Pigeon Blanc",,47.29633046,-1.61162315,,,0,StopArea:LIL278
StopPoint:LIL12287O,"Telegraphe",,47.28978086,-1.60725481,,,0,StopArea:LIL357
StopPoint:LIL22501O,"Tourneuve",,47.27926881,-1.59831949,,,0,StopArea:LIL363
StopPoint:LIL20738O,"Carcouet",,47.2315012,-1.59276214,,,0,StopArea:LIL39
StopPoint:LIL22501N,"Tourneuve",,47.27926881,-1.59831949,,,0,StopArea:LIL363
StopPoint:LIL12287N,"Telegraphe",,47.28978086,-1.60725481,,,0,StopArea:LIL357
StopPoint:LIL12286N,"Pigeon Blanc",,47.29633046,-1.61162315,,,0,StopArea:LIL278
StopPoint:LIL12206N,"Ménardais",,47.31490584,-1.61831584,,,0,StopArea:LIL260
StopPoint:LIL12190N,"Le Moulin Blanc",,47.32588899,-1.61548825,,,0,StopArea:LIL906
StopPoint:LIL12264N,"Poste de Gesvre",,47.3279283,-1.61641417,,,0,StopArea:LIL293
StopPoint:LIL13241N,"Centre",,47.33067603,-1.62486851,,,0,StopArea:LIL368
StopPoint:LIL12251N,"Rochère",,47.34341545,-1.60686145,,,0,StopArea:LIL311
StopPoint:LIL12243N,"Bellevue",,47.35400938,-1.60504975,,,0,StopArea:LIL16
StopPoint:LIL12232N,"Mairie",,47.36590535,-1.60585341,,,0,StopArea:LIL228
StopPoint:LIL23246N,"Cent sillons",,47.36974848,-1.60877885,,,0,StopArea:LIL43
StopPoint:LIL24840N,"ZA de l'érette",,47.37761413,-1.64465485,,,0,StopArea:LIL384
